Date,Positve,Negative,Neutral,Total
2019-06-19,35.922330097087375,8.980582524271844,55.09708737864078,412
2019-06-20,37.04735376044568,10.21355617455896,52.73909006499536,1077
2019-06-21,35.54778554778555,12.121212121212121,52.33100233100233,858
2019-06-22,34.32282003710575,9.090909090909092,56.58627087198516,539
2019-06-23,30.673758865248228,8.333333333333334,60.99290780141844,564
2019-06-24,37.00707785642063,10.920121334681497,52.072800808897874,989
2019-06-25,39.42307692307692,10.926573426573427,49.65034965034965,1144
2019-06-26,36.00802407221665,12.337011033099298,51.65496489468405,997
2019-06-27,34.41910966340934,9.98914223669924,55.591748099891426,921
2019-06-28,35.65573770491803,10.792349726775956,53.55191256830601,732
2019-06-29,34.806629834254146,11.786372007366483,53.40699815837937,543
2019-06-30,37.20073664825046,7.734806629834254,55.064456721915285,543
2019-07-01,33.94308943089431,8.638211382113822,57.41869918699187,984
2019-07-02,36.46953405017921,8.691756272401435,54.83870967741935,1116
2019-07-03,34.25238600212089,9.331919406150583,56.415694591728524,943
2019-07-04,30.83623693379791,8.18815331010453,60.97560975609756,574
2019-07-05,36.60418963616318,10.253583241455347,53.14222712238148,907
2019-07-06,36.039603960396036,6.930693069306931,57.02970297029703,505
2019-07-07,42.32804232804233,8.641975308641975,49.029982363315696,567
2019-07-08,36.94942903752039,9.951060358890702,53.099510603588904,1226
2019-07-09,40.4953560371517,10.65015479876161,48.85448916408669,1615
2019-07-10,35.29051987767584,11.98776758409786,52.7217125382263,1635
2019-07-11,37.49133749133749,11.018711018711018,51.48995148995149,1443
2019-07-12,36.7992766726944,9.764918625678119,53.43580470162749,1106
2019-07-13,38.10930576070901,8.714918759231905,53.17577548005909,677
2019-07-14,36.30731102850062,12.88723667905824,50.80545229244114,807
2019-07-15,35.98885793871866,10.30640668523677,53.70473537604457,1795
2019-07-16,35.997067448680355,12.82991202346041,51.17302052785924,1364
2019-07-17,36.56609195402299,15.517241379310345,47.916666666666664,1392
2019-07-18,34.68917881811205,11.588641596316194,53.72217958557176,1303
2019-07-19,34.9,10.2,54.9,1000
2019-07-20,31.684981684981686,10.43956043956044,57.875457875457876,546
2019-07-21,33.753943217665615,11.514195583596214,54.73186119873817,634
2019-07-22,33.508311461067365,9.973753280839896,56.51793525809274,1143
2019-07-23,39.551699204627624,11.78597252349964,48.66232827187274,1383
2019-07-24,34.41603317208017,13.8217000691085,51.762266758811336,1447
2019-07-25,37.082761774119795,12.985825331504344,49.93141289437586,2187
2019-07-26,35.416666666666664,13.257575757575758,51.32575757575758,1584
2019-07-27,36.42611683848797,8.419243986254296,55.154639175257735,582
2019-07-28,36.1003861003861,10.231660231660232,53.66795366795367,518
2019-07-29,32.075471698113205,12.305168170631665,55.61936013125513,1219
2019-07-30,34.07079646017699,12.389380530973451,53.53982300884956,1130
2019-07-31,34.89399293286219,11.042402826855124,54.063604240282686,1132
2019-08-01,36.66921313980138,11.993888464476699,51.336898395721924,1309
2019-08-02,33.73702422145329,12.629757785467127,53.63321799307958,1156
2019-08-03,35.357142857142854,11.428571428571429,53.214285714285715,560
2019-08-04,37.21739130434783,9.391304347826088,53.391304347826086,575
2019-08-05,33.890048712595686,11.134307585247042,54.97564370215727,1437
2019-08-06,37.76106934001671,11.695906432748538,50.54302422723475,1197
2019-08-07,34.38297872340426,13.361702127659575,52.255319148936174,1175
2019-08-08,37.91044776119403,11.442786069651742,50.646766169154226,1005
2019-08-09,38.47072879330944,12.066905615292711,49.46236559139785,837
2019-08-10,30.4635761589404,8.830022075055188,60.70640176600441,453
2019-08-11,32.66533066132264,8.817635270541082,58.517034068136276,499
2019-08-12,37.513513513513516,10.91891891891892,51.567567567567565,925
2019-08-13,37.53753753753754,10.31031031031031,52.152152152152155,999
2019-08-14,34.44244604316547,14.568345323741006,50.989208633093526,1112
2019-08-15,37.84786641929499,13.543599257884972,48.608534322820034,1078
2019-08-16,34.04255319148936,9.966405375139978,55.99104143337066,893
2019-08-17,37.344398340248965,7.261410788381743,55.3941908713693,482
2019-08-18,34.09785932721712,7.339449541284404,58.56269113149847,654
2019-08-19,34.30185633575464,8.958837772397095,56.73930589184827,1239
2019-08-20,32.638259292837716,11.060743427017226,56.30099728014506,1103
2019-08-21,35.52188552188552,7.9966329966329965,56.48148148148148,1188
2019-08-22,33.916666666666664,9.333333333333334,56.75,1200
2019-08-23,33.0188679245283,13.128930817610064,53.85220125786164,1272
2019-08-24,34.02225755166932,9.85691573926868,56.120826709062,629
2019-08-25,36.887608069164266,12.536023054755043,50.57636887608069,694
2019-08-26,30.664395229982965,12.862010221465077,56.47359454855196,1174
2019-08-27,33.30564784053156,11.794019933554818,54.90033222591362,1204
2019-08-28,31.49171270718232,11.233885819521179,57.2744014732965,1086
2019-08-29,33.44425956738769,9.816971713810316,56.738768718802,1202
2019-08-30,32.8316086547507,12.13546566321731,55.03292568203199,1063
2019-08-31,36.00917431192661,8.486238532110091,55.5045871559633,436
2019-09-01,33.91812865497076,8.966861598440547,57.1150097465887,513
2019-09-02,34.68795355587808,8.563134978229318,56.7489114658926,689
2019-09-03,36.64459161147903,10.30169242089772,53.053715967623255,1359
2019-09-04,38.12445223488168,8.238387379491673,53.63716038562664,1141
2019-09-05,36.67168674698795,9.939759036144578,53.38855421686747,1328
2019-09-06,35.27013251783894,10.499490316004078,54.230377166156984,981
2019-09-07,32.098765432098766,4.783950617283951,63.117283950617285,648
2019-09-08,35.45454545454545,8.484848484848484,56.06060606060606,660
2019-09-09,35.7397504456328,10.962566844919786,53.297682709447415,1122
