date,open,low,high,volume,close,Name,Positve,Negative,Neutral,Total,,
9/29/2017,960.11,958.375,964.83,2411643,961.35,AMZN,9.523809524,14.28571429,76.19047619,21,,
10/2/2017,964,952.1201,967.305,2415846,959.19,AMZN,37.0887338,7.577268195,55.33399801,1003,,
10/3/2017,958,950.37,963.69,2643484,957.1,AMZN,38.15987934,11.08597285,50.75414781,1326,,
10/4/2017,954.21,954.05,967.79,2460721,965.45,AMZN,36.16858238,10.72796935,53.10344828,1305,,
10/5/2017,970,969.64,981.51,3119487,980.85,AMZN,47.9390175,7.227555054,44.83342744,1771,,
10/6/2017,975.64,975.64,995.75,3719840,989.58,AMZN,34.62804477,11.58657011,53.78538512,1519,,
10/9/2017,993.24,987.5,998.5,2927994,990.99,AMZN,31.29525342,8.608205953,60.09654063,1243,,
10/10/2017,996.67,980.099,997.95,3062820,987.2,AMZN,33.64413364,6.993006993,59.36285936,1287,,
10/11/2017,991.27,986.695,995.5,2310872,995,AMZN,36.01449275,11.08695652,52.89855072,1380,,
10/12/2017,996.81,992.4,1008.44,4056172,1000.93,AMZN,40.16445288,9.044908286,50.79063884,1581,,
10/13/2017,1007,1001.03,1007.77,2399403,1002.94,AMZN,40.61538462,8.076923077,51.30769231,1300,,
10/16/2017,1008.44,1001.04,1009.57,1991556,1006.34,AMZN,32.78985507,7.971014493,59.23913043,1104,,
10/17/2017,1005.59,1004.38,1011.47,2307075,1009.13,AMZN,34.31034483,10.94827586,54.74137931,1160,,
10/18/2017,1009.27,996.55,1022.31,2477357,997,AMZN,36,10.18181818,53.81818182,1375,,
10/19/2017,990,980.24,991.05,3040066,986.61,AMZN,32.90870488,9.624911536,57.46638358,1413,,
10/20/2017,993.53,982,994.62,2294145,982.91,AMZN,31.81818182,8.8794926,59.30232558,946,,
10/23/2017,986.73,962.5,986.775,3465469,966.3,AMZN,32.56150507,12.80752533,54.63096961,1382,,
10/24/2017,969,965,979.85,2666782,975.9,AMZN,34.01139138,8.543531326,57.4450773,1229,,
10/25/2017,978,966.24,984.44,2969295,972.91,AMZN,33.67071525,12.0782726,54.25101215,1482,,
10/26/2017,980.33,968.55,982.9,3670282,972.43,AMZN,39.20485919,10.87796797,49.91717283,3622,,
10/27/2017,1058.14,1050.55,1105.58,16360527,1100.95,AMZN,36.37481554,9.41957698,54.20560748,4066,,
10/30/2017,1095.01,1093.56,1122.79,6516639,1110.85,AMZN,30.21582734,16.54676259,53.23741007,1390,,
10/31/2017,1109,1101.12,1110.54,3428461,1105.28,AMZN,32.86093888,8.060230292,59.07883082,1129,,
11/1/2017,1105.4,1096.74,1108.97,3723680,1103.68,AMZN,32.40223464,12.52992817,55.06783719,1253,,
11/2/2017,1097.81,1086.87,1101.94,3658748,1094.22,AMZN,36.67883212,8.850364964,54.47080292,1096,,
11/3/2017,1091.15,1088.52,1112.68,3685172,1111.6,AMZN,40.57239057,11.44781145,47.97979798,1188,,
11/6/2017,1109.15,1108.77,1125.41,3313857,1120.66,AMZN,38.04834378,7.341092211,54.61056401,1117,,
